Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Login,,,2018-02-01 11:04:06,2018-02-01 11:05:17,1m - 11.674s,PASSED
,,,,,,
Test Cases/iOSwithKobiton,,,2018-02-01 11:04:06,2018-02-01 11:05:17,1m - 11.465s,PASSED
startApplication,,,2018-02-01 11:04:06,2018-02-01 11:04:30,23.423s,PASSED
tap,,,2018-02-01 11:04:30,2018-02-01 11:04:37,7.478s,PASSED
tap,,,2018-02-01 11:04:37,2018-02-01 11:04:44,7.376s,PASSED
tap,,,2018-02-01 11:04:44,2018-02-01 11:04:53,8.976s,PASSED
setText,,,2018-02-01 11:04:53,2018-02-01 11:05:07,13.678s,PASSED
tap,,,2018-02-01 11:05:07,2018-02-01 11:05:16,8.799s,PASSED
closeApplication,,,2018-02-01 11:05:16,2018-02-01 11:05:17,1.504s,PASSED
